安徽综合,#genre#	
惠州-2,http://ct.whosayssowhat.top:4022/udp/239.77.1.233:5146
江门综合,http://ct.whosayssowhat.top:4022/udp/239.77.0.201:5146
江门公共,http://ct.whosayssowhat.top:4022/udp/239.77.0.202:5146
江门教育,http://ct.whosayssowhat.top:4022/udp/239.77.0.203:5146
中山综合,http://ct.whosayssowhat.top:4022/udp/239.253.43.62:5146
中山公共,http://ct.whosayssowhat.top:4022/udp/239.253.43.63:5146
中山教育,http://ct.whosayssowhat.top:4022/udp/239.253.43.64:5146
汕尾-1,http://ct.whosayssowhat.top:4022/udp/239.77.0.25:5146
汕尾-2,http://ct.whosayssowhat.top:4022/udp/239.77.0.187:5146
珠海-1,http://ct.whosayssowhat.top:4022/udp/239.77.0.155:5146
珠海-2,http://ct.whosayssowhat.top:4022/udp/239.77.0.154:5146
韶关综合,http://ct.whosayssowhat.top:4022/udp/239.77.0.117:5146
韶关公共,http://ct.whosayssowhat.top:4022/udp/239.77.0.119:5146
湛江综合,http://ct.whosayssowhat.top:4022/udp/239.77.0.141:5146
湛江公共,http://ct.whosayssowhat.top:4022/udp/239.77.0.140:5146
茂名综合,http://ct.whosayssowhat.top:4022/udp/239.77.0.206:5146
茂名公共,http://ct.whosayssowhat.top:4022/udp/239.77.0.207:5146
揭阳综合,http://ct.whosayssowhat.top:4022/udp/239.77.0.229:5146
揭阳公共,http://ct.whosayssowhat.top:4022/udp/239.77.0.251:5146
云浮综合,http://ct.whosayssowhat.top:4022/udp/239.77.0.253:5146
云浮公共,http://ct.whosayssowhat.top:4022/udp/239.77.0.254:5146
汕头综合,http://ct.whosayssowhat.top:4022/udp/239.253.43.45:5146
汕头经济生活,http://ct.whosayssowhat.top:4022/udp/239.253.43.46:5146
汕头文化体育,http://ct.whosayssowhat.top:4022/udp/239.253.43.47:5146
广东卫视,http://ct.whosayssowhat.top:4022/udp/239.77.1.19:5146
广东卫视,http://ct.whosayssowhat.top:4022/udp/239.77.0.84:5146
广东珠江,http://ct.whosayssowhat.top:4022/udp/239.77.0.1:5146
广东经济,http://ct.whosayssowhat.top:4022/udp/239.77.0.85:5146
广东体育,http://ct.whosayssowhat.top:4022/udp/239.77.0.112:5146
南方卫视,http://ct.whosayssowhat.top:4022/udp/239.77.0.215:5146
南方购物,http://ct.whosayssowhat.top:4022/udp/239.77.0.19:5146
广东新闻,http://ct.whosayssowhat.top:4022/udp/239.77.0.173:5146
广东影视,http://ct.whosayssowhat.top:4022/udp/239.77.0.217:5146
广东公共,http://ct.whosayssowhat.top:4022/udp/239.77.0.225:5146
广东少儿,http://ct.whosayssowhat.top:4022/udp/239.77.0.250:5146
嘉佳卡通,http://ct.whosayssowhat.top:4022/udp/239.77.0.179:5146
广东综艺UHD,http://ct.whosayssowhat.top:4022/udp/239.77.0.244:5146
广东综艺,http://ct.whosayssowhat.top:4022/udp/239.77.0.232:5146
广州南国都市,https://justsometime.gztv.com/sec/shenghuos.m3u8
生活HD,http://hls-ott-zhibo.wasu.tv/live/452/index.m3u8
惠州综合,http://ye23.vip/z7z8/2021/0752.php?id=1
